molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,pChEMBL_value
CHEMBL118202,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOCCCOc1ccccc1,active,46.9,7.33
CHEMBL118202,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOCCCOc1ccccc1,active,313.7,6.5
CHEMBL747,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,active,1.6,8.8
CHEMBL747,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,active,730.0,6.14
CHEMBL93888,CCCC1N=C(N)N=C(N)N1c1ccc(Br)cc1,active,127.0,6.9
CHEMBL433204,CC(C)(C)C1N=C(N)N=C(N)N1c1ccc(Cl)cc1,inactive,82721.0,4.08
CHEMBL278847,CCc1nc(N)nc(N)c1-c1cccc(Cl)c1,active,72.0,7.14
CHEMBL325533,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,intermediate,1364.3,5.87
CHEMBL325533,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,intermediate,3410.0,5.47
CHEMBL325533,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,active,500.0,6.3
CHEMBL119224,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,active,5.3,8.28
CHEMBL22137,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,intermediate,4180.0,5.38
CHEMBL22137,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,intermediate,3460.0,5.46
CHEMBL21494,COC(=O)CCCc1nc(N)nc(N)c1-c1cccc(Cl)c1,inactive,36300.0,4.44
CHEMBL21691,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCCc2ccccc2)n1,active,63.0,7.2
CHEMBL416373,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,inactive,10100.0,5.0
CHEMBL22139,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,active,60.0,7.22
CHEMBL21921,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCc2ccccc2)n1,intermediate,4300.0,5.37
CHEMBL119189,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1OCC,intermediate,1162.5,5.93
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,active,132.3,6.88
CHEMBL21407,COC(=O)CCCc1nc(N)nc(N)c1-c1ccccc1,inactive,31300.0,4.5
